time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.437537,-0.0920388472731,-1.01626227197,-1.13591277343,1.9500730766,0.66229620517,1.01817974796,-0.493558318502,100.0,0.942247698959,-0.511966087957,0.418776755093,-0.0506213660002,-0.354733057199,0.735927282988,0.183310704152,100.0
0.437612,-0.0920388472731,-1.01626227197,-1.13591277343,1.9500730766,0.66229620517,1.01817974796,-0.493558318502,100.0,0.942247698959,-0.511966087957,0.418776755093,-0.0506213660002,-0.354733057199,0.735927282988,0.183310704152,100.0
0.447706,-0.0901213712883,-1.01587877678,-1.13514578304,1.9500730766,0.662679700366,1.01779625276,-0.494325308896,100.0,0.94339818455,-0.512349583154,0.418776755093,-0.0498543756063,-0.353582571608,0.735543787791,0.183310704152,100.0
0.457699,-0.0905048664852,-1.01549528158,-1.13476228784,1.9500730766,0.66344669076,1.01817974796,-0.494325308896,100.0,0.943014689353,-0.511966087957,0.418776755093,-0.0502378708032,-0.353582571608,0.736310778185,0.182927208955,100.0
0.467691,-0.0905048664852,-1.01549528158,-1.13476228784,1.94930608621,0.662679700366,1.01779625276,-0.494708804093,100.0,0.943014689353,-0.512349583154,0.418776755093,-0.0498543756063,-0.354733057199,0.736694273382,0.183310704152,100.0
0.477687,-0.0908883616822,-1.01587877678,-1.13476228784,1.9496895814,0.662679700366,1.01779625276,-0.494708804093,100.0,0.942631194156,-0.511966087957,0.418393259896,-0.0502378708032,-0.354349562002,0.735927282988,0.183694199349,100.0
0.487722,-0.0908883616822,-1.01549528158,-1.13552927823,1.9504565718,0.661529214776,1.01702926237,-0.494708804093,100.0,0.94339818455,-0.512733078351,0.418393259896,-0.0510048611972,-0.354349562002,0.735927282988,0.182927208955,100.0
0.497701,-0.0912718568792,-1.01587877678,-1.13552927823,1.9500730766,0.661912709973,1.01702926237,-0.495475794487,100.0,0.94339818455,-0.511966087957,0.418776755093,-0.0502378708032,-0.353966066805,0.736310778185,0.183310704152,100.0
0.507712,-0.0905048664852,-1.01549528158,-1.13476228784,1.9496895814,0.662679700366,1.01817974796,-0.494325308896,100.0,0.943014689353,-0.511966087957,0.418393259896,-0.0502378708032,-0.353582571608,0.735543787791,0.183310704152,100.0
0.517816,-0.0908883616822,-1.01549528158,-1.13591277343,1.94930608621,0.661912709973,1.01779625276,-0.49509229929,100.0,0.942631194156,-0.511966087957,0.41916025029,-0.0494708804093,-0.354733057199,0.736310778185,0.183694199349,100.0
0.527895,-0.0916553520762,-1.01549528158,-1.13552927823,1.94853909581,0.663063195563,1.01779625276,-0.494325308896,100.0,0.942631194156,-0.512349583154,0.418393259896,-0.0498543756063,-0.353966066805,0.735543787791,0.183694199349,100.0
0.537919,-0.0905048664852,-1.01587877678,-1.13514578304,1.94930608621,0.662679700366,1.01702926237,-0.494325308896,100.0,0.94339818455,-0.511966087957,0.418009764699,-0.0498543756063,-0.354349562002,0.735927282988,0.183310704152,100.0
